word,agreement
가련하다,over 85%
가슴에 맺히다,over 85%
가슴이 막히다,over 85%
가슴이 설레다,over 85%
가슴이 찢어지다,over 85%
가슴이 타다,over 85%
가슴이 터지다,over 85%
가엾다,over 85%
간졸이다,over 75%
간담이 내려앉다,over 75%
간담이 떨어지다,over 85%
간이 오그라들다,over 75%
간이 콩알만하다,over 75%
간장을 녹이다,over 85%
간장을 태우다,over 85%
간장이 타다,over 75%
간절하다,over 75%
간태우다,over 75%
감개무량하다,over 85%
감격스럽다,over 85%
감동하다,over 85%
감미롭다,over 85%
감사하다,over 75%
감정이 나다,over 75%
감탄하다,over 75%
감회,over 85%
감흥이 일다,over 85%
갑갑궁금하다,over 75%
갑갑하다,over 85%
강박상태,over 85%
개운하다,over 75%
거북스럽다,over 75%
걱정스럽다,over 85%
겁나다,over 85%
격노하다,over 75%
격분하다,over 85%
겸연쩍다,over 75%
경이롭다,over 75%
경탄하다,over 85%
계면쩍다,over 75%
고뇌하다,over 85%
고독하다,over 85%
고맙다,over 85%
고민하다,over 75%
고소하다,over 75%
골 오르다,over 75%
공허하다,over 85%
괘씸하다,over 75%
괴롭다,over 85%
궁금하다,over 85%
권태롭다,over 75%
귀찮다,over 85%
그립다,over 85%
근심스럽다,over 85%
기막히다,over 85%
김 빠지다,over 75%
기쁘다,over 85%
꺼림칙하다,over 85%
꺼림하다,over 75%
꿀리다,over 75%
꿈같다,over 85%
끔찍하다,over 85%
낙담하다,over 75%
남부끄럽다,over 75%
남부럽다,over 75%
노발대발하다,over 75%
노여워하다,over 85%
놀라다,over 85%
놀랍다,over 85%
눈물겹다,over 85%
뉘우치다,over 75%
달갑다,over 85%
달아오르다,over 85%
담담하다,over 75%
답답하다,over 75%
당혹하다,over 75%
당황하다,over 75%
도취하다,over 85%
동요하다,over 85%
동정하다,over 85%
두렵다,over 85%
뒤숭숭하다,over 85%
든든하다,over 85%
등골이 서늘하다,over 85%
등골이 오싹하다,over 75%
따분하다,over 85%
딱하다,over 85%
뜨끔하다,over 85%
마음 졸이다,over 85%
마음에 걸리다,over 85%
마음에 두다,over 75%
마음에 맺히다,over 85%
마음을 놓다,over 75%
마음이 끌리다,over 85%
마음이 내키다,over 75%
마음이 들뜨다,over 85%
마음이 쓰이다,over 85%
마음 졸이다,over 75%
막막하다,over 75%
막연하다,over 75%
만족하다,over 85%
망극하다,over 75%
맥빠지다,over 75%
메스껍다,over 75%
면목없다,over 75%
몽롱하다,over 85%
묘하다,over 75%
무상하다,over 75%
무섭다,over 85%
무언하다,over 85%
뭉클하다,over 85%
미묘하다,over 75%
미안하다,over 85%
민망스럽다,over 85%
민숭민숭하다,over 75%
밉다,over 85%
반갑다,over 85%
반하다,over 75%
벅차다,over 85%
번뇌하다,over 85%
번민하다,over 85%
부끄럽다,over 85%
부담스럽다,over 75%
부럽다,over 85%
부루퉁하다,over 75%
부아가 나다,over 85%
부아가 치밀다,over 75%
분노하다,over 85%
분하다,over 85%
불길하다,over 75%
불만스럽다,over 85%
불쌍하다,over 85%
불안정하다,over 75%
불안하다,over 85%
불유쾌하다,over 85%
불쾌하다,over 85%
비련,over 75%
비분강개하다,over 75%
비분하다,over 75%
비위상하다,over 75%
비장하다,over 75%
비참하다,over 85%
비탄하다,over 75%
비통하다,over 85%
뼈아프다,over 85%
뾰로통하다,over 75%
뿌듯하다,over 85%
사랑스럽다,over 85%
사로잡히다,over 75%
사모하다,over 85%
사무치다,over 85%
삭막하다,over 75%
살맛이 나다,over 75%
상심하다,over 85%
상쾌하다,over 85%
상큼하다,over 75%
샘나다,over 85%
생가슴앓다,over 85%
서글프다,over 85%
서럽다,over 85%
서먹하다,over 75%
서운하다,over 75%
설레다,over 85%
섧다,over 75%
섬뜩하다,over 85%
섭섭하다,over 85%
성나다,over 75%
소름끼치다,over 85%
속끓이다,over 85%
속상하다,over 85%
속썩다,over 85%
속타다,over 85%
속태우다,over 75%
송구스럽다,over 85%
수치스럽다,over 75%
슬프다,over 85%
시름없다,over 75%
시무룩하다,over 85%
신기하다,over 85%
신나다,over 85%
신명나다,over 85%
신비스럽다,over 75%
싫증나다,over 85%
심심하다,over 85%
싱숭생숭하다,over 85%
쑥스럽다,over 85%
쓰라리다,over 75%
쓸쓸하다,over 85%
아깝다,over 75%
아니꼽다,over 75%
아늑하다,over 75%
아쉽다,over 85%
아연질색하다,over 85%
아찔하다,over 85%
안락하다,over 75%
안스럽다,over 85%
안심하다,over 85%
안타깝다,over 85%
알쏭하다,over 75%
암담하다,over 85%
암울하다,over 75%
앙심먹다,over 75%
애간장을 저미다,over 85%
애끓다,over 85%
애닯다,over 85%
애도하다,over 75%
애상하다,over 75%
애석하다,over 85%
애수,over 85%
애절하다,over 85%
애처롭다,over 85%
애태우다,over 85%
애통하다,over 85%
애틋하다,over 85%
야릇하다,over 85%
야속하다,over 75%
얄밉다,over 75%
어깨가 가벼워지다,over 75%
어안이 벙벙하다,over 85%
어찔하다,over 75%
억울하다,over 85%
언짢다,over 85%
얼굴빛이 변하다,over 75%
얼굴빛이 붉으락 푸르락하다,over 75%
얼굴이 뜨겁다,over 75%
얼떨떨하다,over 85%
역겹다,over 85%
역정이 나다,over 75%
연모하다,over 85%
연민하다,over 85%
연연하다,over 85%
열애하다,over 85%
열에 받히다,over 85%
염려하다,over 85%
영광스럽다,over 85%
오싹하다,over 75%
외롭다,over 85%
욕구불만,over 85%
우수에 잠기다,over 85%
우습다,over 85%
우울하다,over 85%
울분하다,over 85%
울적하다,over 85%
울화통이 터지다,over 85%
원망스럽다,over 85%
원통하다,over 85%
유감스럽다,over 85%
유쾌하다,over 85%
의심하다,over 75%
이상야릇하다,over 85%
재미있다,over 85%
적막하다,over 85%
적적하다,over 85%
전율하다,over 85%
절망하다,over 85%
정나미가 떨어지다,over 75%
정들다,over 85%
정떨어지다,over 75%
조마조마하다,over 85%
존경심,over 85%
좌절하다,over 85%
죄송하다,over 75%
죄스럽다,over 85%
주눅이 들다,over 75%
즐겁다,over 85%
증오하다,over 85%
지겹다,over 85%
지루하다,over 85%
진노하다,over 75%
진절머리가 나다,over 85%
질리다,over 75%
질투하다,over 85%
짜릿하다,over 85%
짜증나다,over 85%
짝사랑하다,over 85%
찝찝하다,over 85%
착잡하다,over 85%
참담하다,over 85%
참회하다,over 85%
찹찹하다,over 85%
창피하다,over 85%
측은하다,over 85%
치가 떨리다,over 85%
침울하다,over 85%
쾌적하다,over 85%
탄복하다,over 85%
탄식하다,over 85%
탐나다,over 75%
통감하다,over 75%
통쾌하다,over 85%
편하다,over 85%
평온하다,over 85%
평화롭다,over 85%
폐스럽다,over 75%
푸근하다,over 75%
피가 끓다,over 85%
피가 마르다,over 75%
하늘이 캄캄하다,over 85%
한스럽다,over 85%
행복하다,over 85%
향수에 젖다,over 85%
허망하다,over 85%
허무하다,over 85%
허전하다,over 85%
허탈하다,over 85%
혐오하다,over 85%
혼란하다,over 85%
혼미하다,over 75%
홀가분하다,over 85%
화나다,over 85%
황공하다,over 85%
황당하다,over 85%
황홀하다,over 85%
회의하다,over 75%
후련하다,over 85%
후회하다,over 85%
흐뭇하다,over 85%
흔쾌하다,over 75%
흡족하다,over 85%
흥겹다,over 85%
흥분하다,over 85%
